Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
2021-07-02,34.049,33.235,34.049,31.514,"4,32M","2,26%"
2021-07-01,33.297,35.533,35.533,32.88,"4,49M","-6,16%"
2021-06-30,35.484,33.92,35.75,31.967,"5,36M","4,85%"
2021-06-29,33.842,33.1,35.641,33.1,"4,48M","2,73%"
2021-06-28,32.942,31.885,33.799,31.338,"4,99M","3,29%"
2021-06-27,31.892,29.676,31.892,29.676,"5,85M","7,48%"
2021-06-26,29.673,28.623,29.829,27.278,"6,49M","3,52%"
2021-06-25,28.663,31.172,32.572,28.663,"7,30M","-8,10%"
2021-06-24,31.19,30.765,32.651,28.679,"7,21M","1,03%"
2021-06-23,30.871,26.84,31.58,26.84,"11,97M","15,23%"
2021-06-22,26.791,26.732,27.892,22.543,"15,79M","0,20%"
2021-06-21,26.738,35.461,35.461,26.738,"8,21M","-24,10%"
2021-06-20,35.23,35.206,35.726,32.863,"3,94M","0,13%"
2021-06-19,35.185,36.766,37.2,35.185,"2,22M","-4,21%"
2021-06-18,36.73,39.267,39.267,35.799,"3,78M","-6,39%"
2021-06-17,39.237,39.692,40.817,38.942,"3,28M","-0,92%"
2021-06-16,39.601,39.526,39.601,37.82,"5,06M","0,17%"
2021-06-15,39.533,39.678,40.941,39.533,"3,73M","-0,50%"
2021-06-14,39.733,38.83,39.733,37.328,"4,59M","2,58%"
2021-06-13,38.734,36.494,38.734,35.388,"4,06M","6,49%"
2021-06-12,36.375,36.154,37.081,34.866,"5,20M","0,99%"
2021-06-11,36.018,40.979,40.979,36.018,"4,76M","-12,21%"
2021-06-10,41.026,41.813,42.539,40.93,"5,16M","-2,37%"
2021-06-09,42.024,41.096,43.31,40.218,"10,76M","1,90%"
2021-06-08,41.24,38.073,41.674,35.771,"16,91M","8,02%"
2021-06-07,38.177,42.223,44,38.177,"8,04M","-9,64%"
2021-06-06,42.249,39.549,43.158,39.549,"6,16M","6,30%"
2021-06-05,39.746,37.459,42.296,37.459,"8,65M","6,31%"
2021-06-04,37.387,39.488,39.525,35.436,"8,83M","-5,59%"
2021-06-03,39.6,34,40.166,34,"7,86M","16,80%"
2021-06-02,33.904,31.034,34.53,30.841,"4,55M","9,50%"
2021-06-01,30.962,32.641,32.74,30.357,"4,05M","-5,64%"
2021-05-31,32.814,28.45,32.814,27.601,"5,17M","14,79%"
2021-05-30,28.586,27.417,29.288,26.121,"3,96M","4,55%"
2021-05-29,27.342,28.989,29.401,26.003,"3,91M","-5,72%"
2021-05-28,29,33.504,33.537,28.509,"6,37M","-14,07%"
2021-05-27,33.747,35.28,35.28,31.746,"5,70M","-4,80%"
2021-05-26,35.449,29.99,35.449,29.99,"10,60M","17,87%"
2021-05-25,30.075,31.284,31.284,26.943,"10,30M","-4,16%"
2021-05-24,31.38,24.604,31.644,24.604,"15,41M","27,45%"
2021-05-23,24.621,31.183,31.183,21.46,"25,79M","-20,95%"
2021-05-22,31.147,38.744,39.682,31.147,"10,12M","-19,90%"
2021-05-21,38.887,44.402,47.103,36.142,"13,74M","-13,00%"
